国民性,24,264.492886,3.407268,1.154568,4.561836,1206.573146
国民性格,17,497.692167,3.292770,2.950212,6.242982,3107.083368
通的,8,65.924795,1.298795,2.250000,3.548795,233.953577
通道,19,156.571387,2.247928,1.950212,4.198140,657.308537
通通,16,131.849589,1.738149,2.440224,4.178373,550.916798
通往,8,65.924795,2.000000,2.000000,4.000000,263.699178
通知,16,131.849589,2.750000,2.706891,5.456891,719.488783
通讯,14,115.368391,1.148835,2.128085,3.276920,378.053002
通人性的,6,263.484088,1.521928,1.584963,3.106891,818.616236
通风,12,98.887192,2.550341,2.281036,4.831377,477.761287
通过,22,181.293185,3.263933,3.195296,6.459229,1171.014265
通婚,9,74.165394,2.725481,2.000000,4.725481,350.467127
史的,10,70.386453,1.156780,2.721928,3.878708,273.008482
史书,17,119.656971,2.481715,2.043058,4.524772,541.420543
史书上,8,70.102524,1.521928,1.500000,3.021928,211.844788
史那,7,49.270517,1.378783,1.950212,3.328996,164.021333
史家,6,42.231872,2.251629,1.918296,4.169925,176.103739
简直,67,4053.035446,3.687597,3.766238,7.453835,30210.657412
简直不敢相信,8,1200.954104,1.950212,1.950212,3.900424,4684.230366
简直无法,7,111.614727,1.556657,1.378783,2.935440,327.638358
简直像,8,124.245960,1.521928,2.000000,3.521928,437.585337
简单,25,1512.326659,2.990602,2.351594,5.342195,8079.144348
简单的,6,1171.718863,1.584963,1.584963,3.169925,3714.260919
编织,12,2854.661024,2.584963,2.281036,4.865999,13890.776583
·第一,16,672.457939,1.905639,1.405639,3.311278,2226.695264
第一,222,1190.269202,4.425102,3.900948,8.326050,9910.240682
第一次,83,22.971669,3.542875,4.809184,8.352059,191.860736
第一次见到,8,72.750331,2.000000,2.000000,4.000000,291.001325
第二,104,557.603590,4.437181,3.361917,7.799098,4348.805176
第二次,6,63.744827,1.584963,1.584963,3.169925,202.066320
第二天,42,446.213788,2.777363,3.108453,5.885816,2626.332091
第二年,10,106.241378,1.950212,2.321928,4.272140,453.878058
第三,39,209.101346,3.383465,3.763243,7.146708,1494.386352
第四,20,107.231460,1.918296,2.621928,4.540224,486.854839
一头大牛,6,56.021041,1.584963,1.521928,3.106891,174.051247
一头栽,10,61.442295,1.378783,1.370951,2.749734,168.949974
一头扎进,16,55.294607,2.706891,2.155639,4.862530,268.871669
一样的,65,27.928316,4.766191,5.000000,9.766191,272.753273
一样地,68,59.686801,4.275415,4.734522,9.009936,537.774275
一群马,32,20.480765,3.300559,2.800045,6.100604,124.945032
一只大,47,18.393553,3.727567,3.543327,7.270894,133.737573
一只黄羊,22,20.801238,3.249460,3.146286,6.395747,133.039447
一只羊,38,24.320909,3.643776,3.212261,6.856037,166.745055
一只手,25,23.023711,2.337797,3.501629,5.839426,134.445258
一下子,94,55.534382,4.619440,4.300421,8.919861,495.358999
一下子就,27,58.631283,2.910992,3.199332,6.110324,358.256150
一动不动,30,62.206433,2.706891,1.231982,3.938872,245.023202
一动不动地,14,63.098164,1.378783,2.521641,3.900424,246.109603
一次机会,13,47.569626,2.257756,1.918296,4.176052,198.653225
一个多月,34,55.658388,2.979381,3.219214,6.198595,345.003800
一个劲地,20,62.206433,2.879506,3.121928,6.001435,373.327839
一个蒙古包,16,21.947188,2.750000,1.950212,4.700212,103.156436
一个一个地,8,63.098164,1.500000,2.000000,3.500000,220.843575
一个临时,8,41.470956,1.378783,2.000000,3.378783,140.121380
一个巨大,10,39.888408,1.921928,1.370951,3.292879,131.347688
一个巨大的,6,37.858899,1.584963,1.584963,3.169925,120.009869
一片片,6,36.324248,1.584963,1.584963,3.169925,115.145141
一天一夜,8,31.103217,2.000000,2.000000,4.000000,124.412867
一些的,12,49.667703,2.584963,2.584963,5.169925,256.778299
一些羊,8,27.307687,2.000000,2.000000,4.000000,109.230747
一定要,34,54.974685,2.045842,3.852169,5.898010,324.241264
一定是,49,37.633406,3.126550,3.949207,7.075757,266.284837
一定得,12,40.961530,1.950212,1.792481,3.742693,153.306446
一定会,33,41.379505,3.700440,4.135303,7.835743,324.239164
